Date,TF,Open,High,Low,Close,Med,CO
2016-11-08,10:30:00,1.10488,1.10508,1.10441,1.10451,1.1047449999999999,-3.6999999999998145e-4
2016-11-08,11:00:00,1.1045,1.10484,1.1043,1.10476,1.10457,2.5999999999992696e-4
2016-11-08,11:30:00,1.10478,1.10487,1.10408,1.10423,1.1044749999999999,-5.500000000000504e-4
2016-11-08,12:00:00,1.10423,1.10423,1.10354,1.1038,1.103885,-4.300000000001525e-4
2016-11-08,12:30:00,1.10381,1.10403,1.10361,1.10374,1.10382,-7.00000000000145e-5
2016-11-08,13:00:00,1.10373,1.10427,1.10353,1.1039,1.1038999999999999,1.7000000000000348e-4
2016-11-08,13:30:00,1.1039,1.10466,1.1037,1.10466,1.10418,7.599999999998719e-4
2016-11-08,14:00:00,1.10468,1.1047,1.10371,1.10458,1.1042049999999999,-1.0000000000021103e-4
2016-11-08,14:30:00,1.10458,1.10488,1.10419,1.10482,1.104535,2.4000000000001798e-4
2016-11-08,15:00:00,1.10481,1.10514,1.10472,1.10512,1.10493,3.1000000000003247e-4
2016-11-08,15:30:00,1.10511,1.10537,1.10458,1.10459,1.104975,-5.20000000000076e-4
2016-11-08,16:00:00,1.1046,1.10508,1.10422,1.10455,1.10465,-5.0000000000105516e-5
2016-11-08,16:30:00,1.10455,1.10473,1.10335,1.10345,1.10404,-0.0010999999999998789
